Key;f0;f1;f2;f3;label
S0000;5.1;3.5;1.4;0.2;0
S0001;4.9;3.0;1.4;0.2;0
S0002;4.7;3.2;1.3;0.2;0
S0003;4.6;3.1;1.5;0.2;0
S0004;5.0;3.6;1.4;0.2;0
S0005;5.4;3.9;1.7;0.4;0
S0006;4.6;3.4;1.4;0.3;0
S0007;5.0;3.4;1.5;0.2;0
S0008;4.4;2.9;1.4;0.2;0
S0009;4.9;3.1;1.5;0.1;0
S0010;5.4;3.7;1.5;0.2;0
S0011;4.8;3.4;1.6;0.2;0
S0012;4.8;3.0;1.4;0.1;0
S0013;4.3;3.0;1.1;0.1;0
S0014;5.8;4.0;1.2;0.2;0
S0015;5.7;4.4;1.5;0.4;0
S0016;5.4;3.9;1.3;0.4;0
S0017;5.1;3.5;1.4;0.3;0
S0018;5.7;3.8;1.7;0.3;0
S0019;5.1;3.8;1.5;0.3;0
S0020;5.4;3.4;1.7;0.2;0
S0021;5.1;3.7;1.5;0.4;0
S0022;4.6;3.6;1.0;0.2;0
S0023;5.1;3.3;1.7;0.5;0
S0024;4.8;3.4;1.9;0.2;0
S0025;5.0;3.0;1.6;0.2;0
S0026;5.0;3.4;1.6;0.4;0
S0027;5.2;3.5;1.5;0.2;0
S0028;5.2;3.4;1.4;0.2;0
S0029;4.7;3.2;1.6;0.2;0
S0030;4.8;3.1;1.6;0.2;0
S0031;5.4;3.4;1.5;0.4;0
S0032;5.2;4.1;1.5;0.1;0
S0033;5.5;4.2;1.4;0.2;0
S0034;4.9;3.1;1.5;0.2;0
S0035;5.0;3.2;1.2;0.2;0
S0036;5.5;3.5;1.3;0.2;0
S0037;4.9;3.6;1.4;0.1;0
S0038;4.4;3.0;1.3;0.2;0
S0039;5.1;3.4;1.5;0.2;0
S0040;5.0;3.5;1.3;0.3;0
S0041;4.5;2.3;1.3;0.3;0
S0042;4.4;3.2;1.3;0.2;0
S0043;5.0;3.5;1.6;0.6;0
S0044;5.1;3.8;1.9;0.4;0
S0045;4.8;3.0;1.4;0.3;0
S0046;5.1;3.8;1.6;0.2;0
S0047;4.6;3.2;1.4;0.2;0
S0048;5.3;3.7;1.5;0.2;0
S0049;5.0;3.3;1.4;0.2;0
S0050;7.0;3.2;4.7;1.4;1
S0051;6.4;3.2;4.5;1.5;1
S0052;6.9;3.1;4.9;1.5;1
S0053;5.5;2.3;4.0;1.3;1
S0054;6.5;2.8;4.6;1.5;1
S0055;5.7;2.8;4.5;1.3;1
S0056;6.3;3.3;4.7;1.6;1
S0057;4.9;2.4;3.3;1.0;1
S0058;6.6;2.9;4.6;1.3;1
S0059;5.2;2.7;3.9;1.4;1
S0060;5.0;2.0;3.5;1.0;1
S0061;5.9;3.0;4.2;1.5;1
S0062;6.0;2.2;4.0;1.0;1
S0063;6.1;2.9;4.7;1.4;1
S0064;5.6;2.9;3.6;1.3;1
S0065;6.7;3.1;4.4;1.4;1
S0066;5.6;3.0;4.5;1.5;1
S0067;5.8;2.7;4.1;1.0;1
S0068;6.2;2.2;4.5;1.5;1
S0069;5.6;2.5;3.9;1.1;1
S0070;5.9;3.2;4.8;1.8;1
S0071;6.1;2.8;4.0;1.3;1
S0072;6.3;2.5;4.9;1.5;1
S0073;6.1;2.8;4.7;1.2;1
S0074;6.4;2.9;4.3;1.3;1
S0075;6.6;3.0;4.4;1.4;1
S0076;6.8;2.8;4.8;1.4;1
S0077;6.7;3.0;5.0;1.7;1
S0078;6.0;2.9;4.5;1.5;1
S0079;5.7;2.6;3.5;1.0;1
S0080;5.5;2.4;3.8;1.1;1
S0081;5.5;2.4;3.7;1.0;1
S0082;5.8;2.7;3.9;1.2;1
S0083;6.0;2.7;5.1;1.6;1
S0084;5.4;3.0;4.5;1.5;1
S0085;6.0;3.4;4.5;1.6;1
S0086;6.7;3.1;4.7;1.5;1
S0087;6.3;2.3;4.4;1.3;1
S0088;5.6;3.0;4.1;1.3;1
S0089;5.5;2.5;4.0;1.3;1
S0090;5.5;2.6;4.4;1.2;1
S0091;6.1;3.0;4.6;1.4;1
S0092;5.8;2.6;4.0;1.2;1
S0093;5.0;2.3;3.3;1.0;1
S0094;5.6;2.7;4.2;1.3;1
S0095;5.7;3.0;4.2;1.2;1
S0096;5.7;2.9;4.2;1.3;1
S0097;6.2;2.9;4.3;1.3;1
S0098;5.1;2.5;3.0;1.1;1
S0099;5.7;2.8;4.1;1.3;1
S0100;6.3;3.3;6.0;2.5;2
S0101;5.8;2.7;5.1;1.9;2
S0102;7.1;3.0;5.9;2.1;2
S0103;6.3;2.9;5.6;1.8;2
S0104;6.5;3.0;5.8;2.2;2
S0105;7.6;3.0;6.6;2.1;2
S0106;4.9;2.5;4.5;1.7;2
S0107;7.3;2.9;6.3;1.8;2
S0108;6.7;2.5;5.8;1.8;2
S0109;7.2;3.6;6.1;2.5;2
S0110;6.5;3.2;5.1;2.0;2
S0111;6.4;2.7;5.3;1.9;2
S0112;6.8;3.0;5.5;2.1;2
S0113;5.7;2.5;5.0;2.0;2
S0114;5.8;2.8;5.1;2.4;2
S0115;6.4;3.2;5.3;2.3;2
S0116;6.5;3.0;5.5;1.8;2
S0117;7.7;3.8;6.7;2.2;2
S0118;7.7;2.6;6.9;2.3;2
S0119;6.0;2.2;5.0;1.5;2
S0120;6.9;3.2;5.7;2.3;2
S0121;5.6;2.8;4.9;2.0;2
S0122;7.7;2.8;6.7;2.0;2
S0123;6.3;2.7;4.9;1.8;2
S0124;6.7;3.3;5.7;2.1;2
S0125;7.2;3.2;6.0;1.8;2
S0126;6.2;2.8;4.8;1.8;2
S0127;6.1;3.0;4.9;1.8;2
S0128;6.4;2.8;5.6;2.1;2
S0129;7.2;3.0;5.8;1.6;2
S0130;7.4;2.8;6.1;1.9;2
S0131;7.9;3.8;6.4;2.0;2
S0132;6.4;2.8;5.6;2.2;2
S0133;6.3;2.8;5.1;1.5;2
S0134;6.1;2.6;5.6;1.4;2
S0135;7.7;3.0;6.1;2.3;2
S0136;6.3;3.4;5.6;2.4;2
S0137;6.4;3.1;5.5;1.8;2
S0138;6.0;3.0;4.8;1.8;2
S0139;6.9;3.1;5.4;2.1;2
S0140;6.7;3.1;5.6;2.4;2
S0141;6.9;3.1;5.1;2.3;2
S0142;5.8;2.7;5.1;1.9;2
S0143;6.8;3.2;5.9;2.3;2
S0144;6.7;3.3;5.7;2.5;2
S0145;6.7;3.0;5.2;2.3;2
S0146;6.3;2.5;5.0;1.9;2
S0147;6.5;3.0;5.2;2.0;2
S0148;6.2;3.4;5.4;2.3;2
S0149;5.9;3.0;5.1;1.8;2
